,DUN_GRUP,DUN_CULTIU,Voronoi_1,ID_Voronoi,Municipi,Codi_munic,Comarca,Codi_comar,ID_CUENCA,CUENCA,ID_SUBCUEN,N_SUBCUENC,SUBCUENCAS,yield_kgHA,Voronoi_ag,Vor_ag_Num,Fid,Area,FoodTons_N,P_Manure,P_Fertiliser,P_Struvite,P_Compost,P_In,P_PO43-,P_Harvest,P_Out,P_Balance,P_bln_check
50,PROTEAGINOSES,PESOLS,Altres conreus herbacis,4,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59536,RIERA DE SANT CUGAT,EL BESÃ?S,1580.0,HORTA,19,50,209.326,0.033,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
51,PROTEAGINOSES,PESOLS,Altres conreus herbacis,4,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59536,RIERA DE SANT CUGAT,EL BESÃ?S,1580.0,HORTA,19,51,71.4154,0.011,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
52,FRUITA DOLCA,PRUNERES,Altres conreus herbacis,4,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57335,RIERA DE VALLVIDRERA,EL LLOBREGAT,1350.0,HORTA,19,52,252.1248,0.034,0,0.0,16.2,0,16.2,0.0,16.2,16.2,0.0,Enough
53,HORTICOLES,HORTA,Altres conreus herbacis,4,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,2368.0,HORTA,19,53,368.0437,0.087,0,0.0,28.416,0,28.416,0.0,28.416,28.416,0.0,Enough
54,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,Altres conreus herbacis,4,Sant Cugat del Vallès,82055,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,1580.0,HORTA,19,54,1495.1589,0.236,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
55,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,Altres conreus herbacis,4,Sant Cugat del Vallès,82055,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,1580.0,HORTA,19,55,154.7596,0.024,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
56,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis,4,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,1580.0,HORTA,19,56,1172.0827,0.185,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
57,HORTICOLES,HORTA,Fruiters no cítrics,29,el Papiol,81580,Baix Llobregat,11,4,Llobregat,57344,TORRENT DE BATZACS,EL LLOBREGAT,5438.0,FRUITERS NO CITRICS,15,57,11528.5558,6.269,0,0.0,5.9818,0,5.9818,0.0,5.9818,5.9818,0.0,Enough
58,OLIVERAR,OLIVERES,Fruiters no cítrics,29,Pallejà,81574,Baix Llobregat,11,4,Llobregat,57307,RIERA DE CERVELLO,EL LLOBREGAT,5438.0,FRUITERS NO CITRICS,15,58,3478.625,1.892,0,0.0,5.9818,0,5.9818,0.0,5.9818,5.9818,0.0,Enough
59,FRUITA DOLCA,CIRERERS,CIRERERS,19,el Papiol,81580,Baix Llobregat,11,4,Llobregat,57344,TORRENT DE BATZACS,EL LLOBREGAT,2400.0,CIRERERS,8,59,1927.1526,0.463,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
60,FRUITA DOLCA,CIRERERS,CIRERERS,19,el Papiol,81580,Baix Llobregat,11,4,Llobregat,57344,TORRENT DE BATZACS,EL LLOBREGAT,2400.0,CIRERERS,8,60,6704.557,1.609,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
61,HORTICOLES,HORTA,Altres conreus herbacis,4,Gavà,80898,Baix Llobregat,11,3,Garraf,57252,RIERA DELS CANYARS,RIERES DE GARRAF,3700.0,HORTA,19,61,1660.1653,0.614,0,0.0,44.4,0,44.4,0.0,44.4,44.4,0.0,Enough
62,OLIVERAR,OLIVERES,Fruiters no cítrics,29,Cervelló,80689,Baix Llobregat,11,4,Llobregat,57307,RIERA DE CERVELLO,EL LLOBREGAT,5438.0,FRUITERS NO CITRICS,15,62,2318.3137,1.261,0,0.0,5.9818,0,5.9818,0.0,5.9818,5.9818,0.0,Enough
63,FRUITA DOLCA,CIRERERS,CIRERERS,19,Torrelles de Llobregat,82896,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,2400.0,CIRERERS,8,63,2246.2421,0.539,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
64,HORTICOLES,HORTA,HORTA,43,Sant Vicenç dels Horts,82634,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,20332.0,HORTA,19,64,11120.2245,22.61,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
65,ALTRES USOS,ESPECIES AROMATIQUES HERBACIES,Altres conreus herbacis,4,Barcelona,80193,Barcelones,13,1,CiutatBarcelona,57275,RIU LLOBREGAT,RIERES DEL PLA DE BARCELONA,2600.0,HORTA,19,65,1689.603,0.439,0,0.0,31.2,0,31.2,0.0,31.2,31.2,0.0,Enough
66,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis en regadiu,9,Sant Andreu de la Barca,81960,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,1350.0,ALTRES CONREUS HERBACIS,1,66,113.0803,0.015,0,0.0,16.2,0,16.2,0.0,16.2,16.2,0.0,Enough
67,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,Altres conreus herbacis en regadiu,9,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59536,RIERA DE SANT CUGAT,EL BESÃ?S,1580.0,ALTRES CONREUS HERBACIS,1,67,531.1929,0.084,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
68,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,Altres conreus herbacis en regadiu,9,Sant Cugat del Vallès,82055,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,1580.0,ALTRES CONREUS HERBACIS,1,68,4081.099,0.645,0,0.0,18.96,0,18.96,0.0,18.96,18.96,0.0,Enough
69,CEREALS,CIVADA,CIVADA,20,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1000.0,CIVADA,9,69,185.3033,0.019,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
70,CEREALS,CIVADA,CIVADA,20,Ripollet,81803,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1000.0,CIVADA,9,70,20.3453,0.002,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
71,CEREALS,CIVADA,CIVADA,20,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1000.0,CIVADA,9,71,20.3061,0.002,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
72,CEREALS,CIVADA,CIVADA,20,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59568,RIU SEC,EL BESÃ?S,1000.0,CIVADA,9,72,24.9169,0.002,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
73,CEREALS,CIVADA,CIVADA,20,Ripollet,81803,Valles Occidental,40,5,Besos,59535,RIU RIPOLL,EL BESÃ?S,1000.0,CIVADA,9,73,14681.5676,1.468,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
74,FRUITA DOLCA,CIRERERS,CIRERERS,19,Sant Vicenç dels Horts,82634,Baix Llobregat,11,4,Llobregat,57293,RIERA DE TORRELLES,EL LLOBREGAT,2400.0,CIRERERS,8,74,2431.3849,0.584,0,0.0,3.168,0,3.168,0.0,3.168,3.168,0.0,Enough
75,FRUITA DOLCA,FIGUERA,Altres conreus herbacis en regadiu,9,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57306,TORRENT D'EN BENET,EL LLOBREGAT,3700.0,ALTRES CONREUS HERBACIS,1,75,291.5642,0.108,0,0.0,44.4,0,44.4,0.0,44.4,44.4,0.0,Enough
76,OLIVERAR,OLIVERES,Fruiters no cítrics en regadiu,34,Sant Vicenç dels Horts,82634,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,13633.0,FRUITERS NO CITRICS,15,76,7995.9628,10.901,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
77,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,Altres conreus herbacis en regadiu,9,Barcelona,80193,Barcelones,13,5,Besos,59522,TORRENT DURAN,EL BESÃ?S,2600.0,ALTRES CONREUS HERBACIS,1,77,3022.2953,0.786,0,0.0,31.2,0,31.2,0.0,31.2,31.2,0.0,Enough
78,HORTICOLES,HORTA,HORTA,43,el Prat de Llobregat,81691,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DEL LLOBREGAT,20332.0,HORTA,19,78,824.591,1.677,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
79,HORTICOLES,HORTA,HORTA,43,el Prat de Llobregat,81691,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DEL LLOBREGAT,20332.0,HORTA,19,79,2059.3975,4.187000000000001,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
80,HORTICOLES,HORTA,HORTA,43,el Prat de Llobregat,81691,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DEL LLOBREGAT,20332.0,HORTA,19,80,8403.2694,17.086,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
81,HORTICOLES,HORTA,HORTA,43,Barcelona,80193,Barcelones,13,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,22720.0,HORTA,19,81,2100.5996,4.773,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
82,HORTICOLES,HORTA,HORTA,43,Barcelona,80193,Barcelones,13,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,22720.0,HORTA,19,82,7534.7833,17.119,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
83,HORTICOLES,HORTA,HORTA,43,el Prat de Llobregat,81691,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DEL LLOBREGAT,20332.0,HORTA,19,83,21578.743,43.874,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
84,HORTICOLES,HORTA,HORTA,43,Barcelona,80193,Barcelones,13,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,22720.0,HORTA,19,84,4550.9792,10.34,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
85,CEREALS,ORDI,Horta familiar,44,Barcelona,80193,Barcelones,13,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DE BARCELONA,22720.0,HORTA,19,85,2574.3953,5.849,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
