,Fid,Area,01_WE,02_WE,03_WE,04_WE,05_WE,06_WE,07_WE,08_WE,09_WE,10_WE,11_WE,12_WE
4744,4744.0,0.04502723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4745,4745.0,0.24764993000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4746,4746.0,0.06754086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4747,4747.0,0.02251362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4748,4748.0,0.014672260000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4749,4749.0,0.035879020000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4750,4750.0,0.012149150000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4751,4751.0,0.02098158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4752,4752.0,0.02251368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4753,4753.0,0.11256841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4754,4754.0,0.028731410000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4755,4755.0,0.02251369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4756,4756.0,0.036886430000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4757,4757.0,0.04502763,8.642619999999999,0.0,0.0,0.0,0.0,38.69371519999999,83.46277239999998,72.33103919999999,63.55186739999999,52.490676,0.0,25.236472799999998
4758,4758.0,0.015414820000000001,8.642619999999999,0.0,0.0,0.0,0.0,38.69371519999999,83.46277239999998,72.33103919999999,63.55186739999999,52.490676,0.0,25.236472799999998
4759,4759.0,0.015414850000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4760,4760.0,0.04707117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4761,4761.0,0.045027710000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4762,4762.0,0.022513850000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4763,4763.0,0.013678700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4764,4764.0,0.0900639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4765,4765.0,0.02009968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4766,4766.0,0.02251594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4767,4767.0,0.4972101,0.0,0.0,0.0,0.0,25.810427999999998,55.38841,83.0000346,50.3502412,13.779325000000005,15.142932000000002,0.0,0.373408
4768,4768.0,0.022513730000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4769,4769.0,0.014417339999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4770,4770.0,0.01182254,8.526035,0.0,0.0,0.0,0.0,34.840078,80.6437212,66.07091960000001,58.19415,48.88388400000001,0.0,25.391744000000003
4771,4771.0,0.02165347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4772,4772.0,0.02251362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4773,4773.0,0.015414750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4774,4774.0,0.018027520000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4775,4775.0,0.026173180000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4776,4776.0,0.022513730000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4777,4777.0,0.015414680000000002,8.793597499999999,0.0,0.0,0.0,0.0,35.22907095,82.9562458,67.15529855,59.27414400000002,49.93823925000002,0.0,26.332017400000005
4778,4778.0,0.0225136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4779,4779.0,0.022513730000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4780,4780.0,0.02251372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4781,4781.0,0.01139126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4782,4782.0,0.14398628000000002,4.053798000000001,9.980843599999998,13.229235599999994,141.0748752,186.0407416,155.47462699999997,169.010926,123.090121,62.532274,15.838816000000003,0.0,14.919127999999999
4783,4783.0,0.014417280000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4784,4784.0,0.0225136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4785,4785.0,0.01152207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4786,4786.0,0.017372330000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4787,4787.0,0.044442180000000005,35.73213000000001,48.788712,0.0,57.92003,87.891685,80.003945,98.19908,63.994105,24.397659999999995,24.227874999999997,11.543805000000003,41.02406
4788,4788.0,0.014417280000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4789,4789.0,0.05409622000000001,35.73213000000001,48.788712,0.0,57.92003,87.891685,80.003945,98.19908,63.994105,24.397659999999995,24.227874999999997,11.543805000000003,41.02406
4790,4790.0,0.26415028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4791,4791.0,0.01441762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
