,Fid,Area,WE_mm_ha_yr
224,224.0,1.14064483,713.0917807254691
225,225.0,0.09485713,0.0
226,226.0,0.01441849,55857.28340485029
227,227.0,0.01749853,0.0
228,228.0,0.01748264,10578.582433774303
229,229.0,0.54036151,0.0
230,230.0,0.06433295000000001,2874.75622367698
231,231.0,0.01106167,0.0
232,232.0,0.67129417,1211.6661954624153
233,233.0,0.16828513,0.0
234,234.0,0.02251507,0.0
235,235.0,0.06754515,12038.387780617853
236,236.0,0.40255983,0.0
237,237.0,0.45101980999999997,0.0
238,238.0,18.77306841,0.0
239,239.0,0.36280102000000003,0.0
240,240.0,9.303017500000001,0.0
241,241.0,0.03131096,0.0
242,242.0,0.02721909,29873.691897855508
243,243.0,0.20650437000000002,0.0
244,244.0,6.09967143,0.0
245,245.0,11.270873680000001,0.0
246,246.0,0.07470788999999999,0.0
247,247.0,0.25288126000000005,0.0
248,248.0,0.1657105,0.0
249,249.0,0.06667574,0.0
250,250.0,0.08594876000000001,0.0
251,251.0,0.22308073,0.0
252,252.0,0.03693321,0.0
253,253.0,0.5853906600000001,0.0
254,254.0,0.8530309800000001,0.0
255,255.0,0.02251504,0.0
256,256.0,0.20263528,0.0
257,257.0,0.02629696,0.0
258,258.0,0.19037882,0.0
259,259.0,0.7035367800000001,0.0
260,260.0,0.06754508,0.0
261,261.0,0.023358880000000002,0.0
262,262.0,0.38199165,0.0
263,263.0,0.26381154,0.0
264,264.0,0.2927039,970.7075293496259
265,265.0,0.07466287,3812.8403823747994
266,266.0,0.20264104,1402.133938909907
267,267.0,0.07556977000000001,10833.618644068918
268,268.0,0.07340232,0.0
269,269.0,0.01340491,0.0
270,270.0,0.06791405,12049.088882197424
271,271.0,0.01056211,76241.17423507234
272,272.0,0.31575030000000004,0.0
273,273.0,0.03860887,20924.900619987064
274,274.0,0.8999385599999998,0.0
275,275.0,0.022515280000000002,35910.404853948065
276,276.0,0.01441831,56076.80929318345
277,277.0,0.09006103000000001,8977.610185004545
278,278.0,0.13509159,5997.561162763722
279,279.0,9.189450550000002,87.96320354539584
280,280.0,0.03275588,0.0
281,281.0,0.6358318900000001,0.0
282,282.0,0.01341198,0.0
283,283.0,0.012143500000000002,0.0
284,284.0,0.06752728,0.0
285,285.0,0.01215216,0.0
286,286.0,0.04217556,20693.855450881976
287,287.0,0.05050587,0.0
288,288.0,2.0884159,0.0
289,289.0,0.68212624,1183.6275112360433
290,290.0,0.12860832,6255.237471417091
291,291.0,0.04503047,7941.070301953322
292,292.0,0.07253570999999999,11090.752160556503
293,293.0,0.6808751100000001,0.0
294,294.0,0.32645508,0.0
295,295.0,0.0144183,0.0
296,296.0,0.02174391,36997.74246674126
297,297.0,0.13509144,5983.602730121168
298,298.0,0.01541601,0.0
299,299.0,0.02251522,0.0
300,300.0,0.24997321000000003,0.0
301,301.0,0.015415960000000001,0.0
302,302.0,0.01924116,0.0
303,303.0,0.33772763,0.0
304,304.0,0.04503049,17812.444017375783
305,305.0,0.04503033,0.0
306,306.0,0.09393057,0.0
307,307.0,0.12541659,0.0
308,308.0,0.15760613,0.0
309,309.0,0.1801212,0.0
310,310.0,0.04278576,0.0
311,311.0,0.02251525,15882.130022984424
312,312.0,0.5032731,710.5289911183412
313,313.0,0.039645690000000004,9019.646978019551
314,314.0,0.25990996,0.0
315,315.0,0.02251525,15882.130022984424
316,316.0,0.015415920000000001,0.0
317,317.0,0.0450305,7941.065011492212
318,318.0,0.01541589,0.0
319,319.0,0.12247429,2915.887373586734
320,320.0,0.18012186,4448.752947587816
321,321.0,0.3393754,2361.154213298901
322,322.0,0.01441825,0.0
323,323.0,0.09006088999999999,3970.5373553381496
324,324.0,0.06754521,0.0
325,325.0,0.02251511,0.0
326,326.0,0.10230479,0.0
