,Fid,Area,WE_m3_ha_yr
167,167.0,0.014418279999999999,0.0
168,168.0,0.02251522,0.0
169,169.0,0.40984185,0.0
170,170.0,0.02251523,0.0
171,171.0,0.02251523,0.0
172,172.0,0.99905695,0.0
173,173.0,0.058103440000000006,0.0
174,174.0,0.02251521,0.0
175,175.0,0.01651182,480302.622000482
176,176.0,0.026166969999999998,0.0
177,177.0,0.33154321000000003,8590.778915363702
178,178.0,0.03606447,0.0
179,179.0,0.33773466,0.0
180,180.0,0.045031270000000005,0.0
181,181.0,0.02251563,0.0
182,182.0,0.29724214000000004,0.0
183,183.0,0.014418260000000002,0.0
184,184.0,0.01541597,0.0
185,185.0,0.1125761,0.0
186,186.0,0.02616651,0.0
187,187.0,0.30236141,0.0
188,188.0,0.12699653000000002,63877.778896793454
189,189.0,0.08008936,45022.66226125418
190,190.0,0.03543017,101773.04274859534
191,191.0,0.0675468,120098.3061225698
192,192.0,0.5353006,15154.580928921056
193,193.0,0.07167886,113209.29032632493
194,194.0,0.017864650000000003,0.0
195,195.0,0.00929607,873521.6677585257
196,196.0,0.014418520000000002,250083.6567137265
197,197.0,0.02181188,130580.87693495471
198,198.0,0.4064292,12651.076349829196
199,199.0,0.0225156,360404.0252980156
200,200.0,0.06754679,120134.69288473962
201,201.0,0.07343016000000001,0.0
202,202.0,0.01541625,233898.3998054001
203,203.0,0.24143123000000002,0.0
204,204.0,0.79062542,0.0
205,205.0,0.03141515,0.0
206,206.0,0.02616821,0.0
207,207.0,0.46334207,11097.129254850524
208,208.0,0.012459010000000001,0.0
209,209.0,0.22515609,36029.47743496522
210,210.0,0.32959597,0.0
211,211.0,0.06754488,0.0
212,212.0,0.48698331,0.0
213,213.0,0.02251507,361151.312609732
214,214.0,0.032416060000000003,0.0
215,215.0,0.06791273,0.0
216,216.0,0.46164962,0.0
217,217.0,0.04647413,174965.01997993287
218,218.0,0.026166250000000002,310852.5115368079
219,219.0,0.3461114,0.0
220,220.0,0.02251507,0.0
221,221.0,0.022515010000000002,361263.19863948534
222,222.0,12.79688015,633.7153606928171
223,223.0,3.40129033,2391.3996574353
224,224.0,1.14064483,7130.917807254691
225,225.0,0.09485713,0.0
226,226.0,0.01441849,558572.834048503
227,227.0,0.01749853,0.0
228,228.0,0.01748264,105785.82433774303
229,229.0,0.54036151,0.0
230,230.0,0.06433295000000001,28747.5622367698
231,231.0,0.01106167,0.0
232,232.0,0.67129417,12116.661954624153
233,233.0,0.16828513,0.0
234,234.0,0.02251507,0.0
235,235.0,0.06754515,120383.87780617853
236,236.0,0.40255983,0.0
237,237.0,0.45101980999999997,0.0
238,238.0,18.77306841,0.0
239,239.0,0.36280102000000003,0.0
240,240.0,9.303017500000001,0.0
241,241.0,0.03131096,0.0
242,242.0,0.02721909,298736.91897855507
243,243.0,0.20650437000000002,0.0
244,244.0,6.09967143,0.0
245,245.0,11.270873680000001,0.0
246,246.0,0.07470788999999999,0.0
247,247.0,0.25288126000000005,0.0
248,248.0,0.1657105,0.0
249,249.0,0.06667574,0.0
250,250.0,0.08594876000000001,0.0
251,251.0,0.22308073,0.0
252,252.0,0.03693321,0.0
253,253.0,0.5853906600000001,0.0
254,254.0,0.8530309800000001,0.0
255,255.0,0.02251504,0.0
256,256.0,0.20263528,0.0
257,257.0,0.02629696,0.0
258,258.0,0.19037882,0.0
259,259.0,0.7035367800000001,0.0
260,260.0,0.06754508,0.0
261,261.0,0.023358880000000002,0.0
262,262.0,0.38199165,0.0
263,263.0,0.26381154,0.0
264,264.0,0.2927039,9707.075293496258
265,265.0,0.07466287,38128.403823748
266,266.0,0.20264104,14021.33938909907
267,267.0,0.07556977000000001,108336.18644068918
268,268.0,0.07340232,0.0
269,269.0,0.01340491,0.0
270,270.0,0.06791405,120490.88882197424
271,271.0,0.01056211,762411.7423507234
272,272.0,0.31575030000000004,0.0
273,273.0,0.03860887,209249.00619987064
274,274.0,0.8999385599999998,0.0
275,275.0,0.022515280000000002,359104.04853948066
276,276.0,0.01441831,560768.0929318345
277,277.0,0.09006103000000001,89776.10185004545
278,278.0,0.13509159,59975.61162763722
279,279.0,9.189450550000002,879.6320354539585
280,280.0,0.03275588,0.0
281,281.0,0.6358318900000001,0.0
282,282.0,0.01341198,0.0
283,283.0,0.012143500000000002,0.0
284,284.0,0.06752728,0.0
285,285.0,0.01215216,0.0
286,286.0,0.04217556,206938.55450881977
287,287.0,0.05050587,0.0
288,288.0,2.0884159,0.0
289,289.0,0.68212624,11836.275112360434
290,290.0,0.12860832,62552.37471417091
291,291.0,0.04503047,79410.70301953322
292,292.0,0.07253570999999999,110907.52160556504
293,293.0,0.6808751100000001,0.0
294,294.0,0.32645508,0.0
295,295.0,0.0144183,0.0
296,296.0,0.02174391,369977.42466741265
297,297.0,0.13509144,59836.02730121168
298,298.0,0.01541601,0.0
299,299.0,0.02251522,0.0
300,300.0,0.24997321000000003,0.0
301,301.0,0.015415960000000001,0.0
302,302.0,0.01924116,0.0
